               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,            0.034125,            0.033849,                   0,             0.87498,             0.90909,             0.91359,             0.43763,            0.023402,           0.0045387,                   0,           0.0029711,           0.0029711,            0.070371
                 109,            0.037496,            0.026067,                   0,             0.72447,             0.92197,             0.85014,             0.43727,            0.023724,           0.0044839,                   0,           0.0029932,           0.0029932,            0.070093
                 110,            0.031665,            0.027772,                   0,                   1,             0.90908,             0.96471,             0.43812,            0.025685,           0.0048613,                   0,           0.0030152,           0.0030152,            0.069815
                 111,            0.034554,            0.025285,                   0,             0.93587,             0.94756,             0.96624,             0.49932,            0.022697,            0.004539,                   0,           0.0030371,           0.0030371,            0.069537
                 112,             0.02924,             0.02282,                   0,             0.86817,              0.8553,             0.92864,             0.40974,            0.027738,           0.0051174,                   0,           0.0030588,           0.0030588,            0.069259
                 113,            0.028265,            0.023798,                   0,             0.77001,             0.86963,             0.86841,             0.42559,            0.025091,            0.004896,                   0,           0.0030804,           0.0030804,             0.06898
                 114,            0.035205,            0.029187,                   0,             0.79817,             0.88312,             0.85515,             0.37563,            0.026672,           0.0057771,                   0,           0.0031018,           0.0031018,            0.068702
                 115,            0.024902,            0.024576,                   0,             0.89693,             0.92208,              0.9401,             0.49613,            0.022597,           0.0051246,                   0,           0.0031232,           0.0031232,            0.068423
                 116,            0.035978,            0.023735,                   0,             0.93444,             0.75325,             0.88529,             0.47985,             0.02354,           0.0057353,                   0,           0.0031443,           0.0031443,            0.068144
                 117,            0.027047,            0.021118,                   0,             0.95411,             0.94805,             0.96387,             0.51473,            0.021767,           0.0045502,                   0,           0.0031653,           0.0031653,            0.067865
                 118,            0.032197,             0.02254,                   0,             0.94592,             0.90863,             0.95215,             0.49337,            0.020759,           0.0047679,                   0,           0.0031862,           0.0031862,            0.067586
                 119,            0.029516,              0.0282,                   0,             0.89014,             0.97403,             0.96754,             0.38389,            0.029332,           0.0044808,                   0,            0.003207,            0.003207,            0.067307
                 120,            0.035983,            0.030337,                   0,             0.95863,             0.90909,             0.95665,             0.44936,            0.024732,           0.0046806,                   0,           0.0032275,           0.0032275,            0.067028
                 121,            0.029035,            0.024078,                   0,             0.90397,             0.85714,             0.91126,             0.43941,            0.024657,           0.0051096,                   0,            0.003248,            0.003248,            0.066748
                 122,            0.031635,            0.020296,                   0,             0.87498,             0.90891,             0.92546,             0.52309,             0.01989,           0.0050047,                   0,           0.0032683,           0.0032683,            0.066468
                 123,            0.028336,            0.025369,                   0,             0.95903,             0.92208,             0.95285,             0.53607,            0.018929,           0.0045141,                   0,           0.0032884,           0.0032884,            0.066188
                 124,            0.028912,            0.027111,                   0,             0.93322,             0.90747,             0.93042,             0.50443,            0.020601,           0.0050477,                   0,           0.0033085,           0.0033085,            0.065908
                 125,            0.031466,            0.029087,                   0,               0.515,             0.88312,              0.7124,             0.32519,             0.02626,           0.0045836,                   0,           0.0033283,           0.0033283,            0.065628
                 126,            0.025961,            0.026978,                   0,              0.7849,             0.94782,             0.88653,             0.53863,            0.019597,           0.0046175,                   0,            0.003348,            0.003348,            0.065348
                 127,             0.03187,            0.021309,                   0,             0.94595,             0.90909,             0.93328,             0.50576,            0.021581,           0.0051998,                   0,           0.0033676,           0.0033676,            0.065068
                 128,            0.031347,            0.025361,                   0,             0.89291,             0.87013,              0.9315,             0.55116,            0.023665,           0.0051539,                   0,            0.003387,            0.003387,            0.064787
                 129,            0.028348,            0.024191,                   0,             0.74166,             0.89485,             0.81533,             0.48607,            0.022672,           0.0050303,                   0,           0.0034063,           0.0034063,            0.064506
                 130,            0.026911,            0.022932,                   0,             0.71707,             0.92208,             0.84506,             0.40892,            0.023996,           0.0051304,                   0,           0.0034254,           0.0034254,            0.064225
                 131,            0.031689,            0.030011,                   0,             0.77642,             0.85691,             0.85427,             0.42238,            0.023497,           0.0049612,                   0,           0.0034443,           0.0034443,            0.063944
                 132,            0.038736,            0.023673,                   0,              0.8974,             0.90869,             0.94584,             0.51067,            0.018801,           0.0048496,                   0,           0.0034631,           0.0034631,            0.063663
                 133,            0.031434,            0.027657,                   0,             0.93504,             0.93475,             0.95404,             0.60805,            0.016159,           0.0048083,                   0,           0.0034818,           0.0034818,            0.063382
