               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.037581,            0.037028,                   0,             0.86086,             0.77798,             0.86939,             0.48145,            0.038172,            0.009311,                   0,            0.002863,            0.002863,            0.072963
                  75,            0.036115,            0.035974,                   0,             0.82874,             0.92727,             0.91383,             0.52944,            0.034909,           0.0083678,                   0,           0.0028979,           0.0028979,            0.072598
                  76,            0.035697,            0.042886,                   0,             0.86739,             0.86167,             0.90361,             0.48181,            0.033026,           0.0093215,                   0,           0.0029326,           0.0029326,            0.072233
                  77,            0.036465,            0.036059,                   0,             0.88925,             0.86826,             0.91035,             0.51348,            0.036355,           0.0083857,                   0,           0.0029672,           0.0029672,            0.071867
                  78,            0.037581,            0.034841,                   0,             0.87715,             0.85629,             0.87352,             0.47953,            0.040318,           0.0093204,                   0,           0.0030017,           0.0030017,            0.071502
                  79,            0.036334,            0.037752,                   0,             0.79657,             0.86826,             0.85432,             0.47597,            0.040375,            0.009347,                   0,            0.003036,            0.003036,            0.071136
                  80,             0.03614,            0.042146,                   0,             0.86358,             0.87425,             0.89423,             0.42469,            0.040091,           0.0095202,                   0,           0.0030702,           0.0030702,             0.07077
                  81,            0.038329,             0.03853,                   0,             0.88311,             0.81429,             0.89005,             0.43873,            0.039821,           0.0085736,                   0,           0.0031042,           0.0031042,            0.070404
                  82,            0.037574,            0.041554,                   0,             0.90129,             0.82016,             0.89454,             0.48844,            0.034614,           0.0089781,                   0,           0.0031381,           0.0031381,            0.070038
                  83,            0.035224,            0.035529,                   0,             0.91565,             0.91003,             0.91697,             0.46221,            0.033283,           0.0083151,                   0,           0.0031719,           0.0031719,            0.069672
                  84,            0.035484,            0.037407,                   0,             0.87279,             0.90384,             0.91696,             0.40082,            0.041539,           0.0088814,                   0,           0.0032055,           0.0032055,            0.069305
                  85,            0.037801,            0.037378,                   0,             0.88571,             0.92808,             0.92534,             0.46948,            0.033905,           0.0082622,                   0,           0.0032389,           0.0032389,            0.068939
                  86,            0.034425,            0.032518,                   0,             0.85293,             0.86817,             0.90224,             0.48853,            0.039285,           0.0085181,                   0,           0.0032722,           0.0032722,            0.068572
                  87,            0.036535,            0.034336,                   0,             0.85603,             0.92814,             0.92238,               0.558,            0.034152,           0.0081116,                   0,           0.0033054,           0.0033054,            0.068205
                  88,            0.034201,            0.037289,                   0,             0.82523,             0.93413,              0.9093,             0.56539,            0.033647,           0.0085039,                   0,           0.0033384,           0.0033384,            0.067838
                  89,            0.035343,            0.037074,                   0,             0.76657,             0.74727,              0.8137,             0.38749,            0.039546,               0.011,                   0,           0.0033713,           0.0033713,            0.067471
                  90,            0.033353,            0.037574,                   0,             0.85853,             0.94611,             0.92862,             0.57407,              0.0314,           0.0079597,                   0,            0.003404,            0.003404,            0.067104
                  91,            0.034887,            0.035565,                   0,              0.8212,             0.88008,             0.89791,             0.51178,             0.03631,           0.0087195,                   0,           0.0034365,           0.0034365,            0.066737
                  92,            0.033476,            0.032177,                   0,             0.87248,             0.94611,             0.93432,             0.57041,            0.031596,            0.007659,                   0,           0.0034689,           0.0034689,            0.066369
                  93,            0.035896,            0.033415,                   0,             0.88234,             0.89809,             0.92208,             0.54839,            0.032692,           0.0087982,                   0,           0.0035011,           0.0035011,            0.066001
                  94,            0.034837,             0.03409,                   0,             0.90739,              0.8801,             0.93449,             0.59664,            0.033042,           0.0086735,                   0,           0.0035332,           0.0035332,            0.065633
                  95,            0.037793,            0.036713,                   0,              0.8819,             0.76013,              0.8424,             0.48721,            0.033481,            0.011575,                   0,           0.0035651,           0.0035651,            0.065265
                  96,            0.034941,            0.038854,                   0,             0.71224,             0.71142,             0.73201,             0.34953,            0.038313,            0.015245,                   0,           0.0035968,           0.0035968,            0.064897
                  97,            0.034861,            0.034784,                   0,             0.93124,             0.89202,             0.92102,             0.55921,            0.032297,           0.0084692,                   0,           0.0036284,           0.0036284,            0.064528
                  98,            0.032161,            0.037939,                   0,             0.89383,             0.91018,             0.92213,             0.53502,            0.036364,           0.0086255,                   0,           0.0036598,           0.0036598,             0.06416
